strain,accession1
10329_clinical,CP045794.1
16-VB00198,CP097355.1
160807,CP033141.1
17-VB00214,CP062153.1
19-021-D1_ahpnd,CP046411.1
19-VB00998,CP062150.1
20-082A3_ahpnd,CP065369.1
20-082E4_ahpnd,CP083361.1
2010V-1106_clinical,CP046828.1
20130629002S01_ahpnd,CP020034.1
2013V-1146_clinical,CP046808.1
2013V-1174_clinical,CP046787.1
2013V-1181_clinical,CP046783.1
2013V-1244_clinical,CP046782.1
20140624012-1_ahpnd,CP034285.1
20140722001-1_ahpnd,CP034289.1
20140723005,CP047990.1
20140829008-1_ahpnd,CP034294.1
2014V-1066_clinical,CP046779.1
2014V-1125_clinical,CP046778.1
20150710009,CP047995.1
20151116002-3_ahpnd,CP034305.1
2015AW-0174_clinical,CP046754.1
20160303005-1_ahpnd,CP034298.1
23EBVib0155,CP128370.1
64_ahpnd,CP074415.1
AG1,CP176357.1
AM46865_clinical,CP046761.1
ANHC.C2L,CP192147.1
ATCC17802,CP014046.2
BB220P,CP003972.1
BM17A_1,CP099939.1
BM17A_2,CP129924.1
BM18B,CP129932.1
BM19BA_1,CP099937.1
BM21A_2,CP129938.1
BM23A_1,CP099941.1
BM24A,CP129930.1
BM24B,CP099928.1
BM25,CP099921.1
BM26A_1,CP099934.1
BM26A_2,CP141290.1
BT85-28,cluster_001_consensus
BTXS2,CP063525.1
CDC_K4557_clinical,CP006008.1
CHN25,CP010883.1
D3112,CP034565.1
DHO76,CP066246.1
DLM1799,CP064035.1
DLM1805,CP064033.1
DX190406,CP187480.1
DX210401_ahpnd,CP187429.1
DX230702_ahpnd,CP187437.1
EB101,CP149505.1
FB-11,CP073068.1
FDAARGOS_191_clinical,CP020427.2
FDAARGOS_51_clinical,CP026041.1
FDAARGOS_662_clinical,CP044071.1
FDAARGOS_667_clinical,CP044062.1
FDA_R31,CP006004.1
FORC_004,CP009847.1
FORC_006,CP009765.1
FORC_008,CP009982.1
FORC_014,CP011406.1
FORC_018,CP013826.1
FORC_022,CP013248.1
FORC_023,CP012950.1
G855,CP125856.1
GL-601,CP097873.1
GTVSS-031_clinical,CP176646.1
GTVSS-032_clinical,CP176657.1
HZ-52_ahpnd,CP047985.1
HZ_clinical,CP130651.1
I13A,CP129936.1
I14B,CP141287.1
I24A,CP130856.1
Isc14B,CP099919.1
Isc24A,CP099946.1
L2171_ahpnd,CP176031.1
L2181_ahpnd,CP176035.1
LC_ahpnd,CP119301.1
LH214,CP085857.1
LH24,CP068622.1
LH80,CP068627.1
LVP1,CP040100.1
LVP2,CP040101.1
LVP66,CP040103.1
M0904_ahpnd,CP133891.1
MAVP-26_clinical,CP023248.2
MAVP-Q1_clinical,CP011884.1
MAVP-Q2_clinical,CP022473.1
MAVP-R_clinical,CP022552.2
MVP1_ahpnd,CP043421.1
NJIFDCVp52,CP128803.1
NJIFDCVp7,CP150864.1
PH1273_ahpnd,CP114186.1
PH1339_ahpnd,CP114183.2
R13_ahpnd,CP028342.1
R14_ahpnd,CP028141.1
RIMD_2210633_clinical,BA000031.2
RMDVP1_clinical,CP102434.1
RP0132,CP131931.1
ST110-8_ahpnd,CP160382.1
TBV028,CP155084.1
TJ-187,CP068647.1
TJ-20,CP068631.1
TJA114,CP060088.1
TW01_ahpnd,CP133900.1
UCM-V493,CP007004.1
VP120,CP068638.1
VP157,CP068641.1
VP16_clinical,CP127846.1
VP220218_ahpnd,CP117039.1
VP93_clinical,CP158305.1
Vb0624,CP041202.1
Vp2015094,CP080478.1
X1,CP136903.1
XMO116,CP064041.1
lsc4A,CP099955.1
lsc7,CP099924.1
vp-201806,CP150857.1
vp-201911,CP150862.1
vp-HL-201910,CP152363.1
vp-HL-202005,CP114194.1
vp-HL-202006,CP150902.1
vp-HL-202008,CP150909.1
vp-HL-202012,CP150947.1
vp-pir-201806_ahpnd,CP151155.1
